portfolio_size,site_share_percent,captured_volume,captured_share_percent,incremental_sites,incremental_volume,incremental_share_percent,avg_incremental_share_per_site,efficiency_ratio
10,0.2101723413198823,5595194382,1.0380295739507133,10,5595194382,1.0380295739507133,0.10380295739507132,4.938944712857494
25,0.5254308532997058,12879702961,2.3894634689062655,15,7284508579,1.3514338949555524,0.09009559299703683,4.547626874022404
50,1.0508617065994117,23393045121,4.339915828211425,25,10513342160,1.950452359305159,0.07801809437220636,4.129863902125991
100,2.1017234131988234,41942570326,7.781253953563826,50,18549525205,3.441338125352401,0.06882676250704801,3.7023206311056676
250,5.254308532997057,88204450609,16.36383332467698,150,46261880283,8.58257937111315,0.057217195807421,3.1143647583525227
500,10.508617065994114,150756015590,27.968501529960747,250,62551564981,11.604668205283772,0.04641867282113509,2.6614826055910648
750,15.762925598991174,203366465760,37.728877925641854,250,52610450170,9.760376395681105,0.03904150558272442,2.393520015602719
1000,21.01723413198823,249481075712,46.28413546510688,250,46114609952,8.55525753946503,0.03422103015786012,2.2021991654297857
1500,31.525851197982348,326143780141,60.50672524185367,500,76662704429,14.2225897767468,0.0284451795534936,1.9192733246715983
2000,42.03446826397646,387568083095,71.90226196005597,500,61424302954,11.395536718202287,0.022791073436404574,1.7105548120297316
2500,52.54308532997057,438505235661,81.35220545914984,500,50937152566,9.449943499093873,0.018899886998187745,1.5482951742985398
3000,63.051702395964696,479298297438,88.92020071464057,500,40793061777,7.567995255490738,0.015135990510981476,1.4102743833341993
4000,84.06893652795291,530786929175,98.4724555276644,1000,51488631737,9.55225481302381,0.00955225481302381,1.1713298585015681
4758,100.0,539020710239,100.0,758,8233781064,1.527544472335612,0.00201523017458524,1.0
