rank,scats_site,display_name,total_volume,latitude,longitude,google_maps_url,municipality,traffic_band
1,4415,PRINCES near CANNING,13163960.0,-37.792825,144.973731,"https://www.google.com/maps/search/?api=1&query=-37.792825,144.973731",MBN,red
2,2404,Princes Highway East / PARK,12383399.0,-37.833437,144.967764,"https://www.google.com/maps/search/?api=1&query=-37.833437,144.967764",PTP,red
3,3380,EASTERN Freeway OFF RAMP / HODDLE,11334165.0,-37.795997,144.99397,"https://www.google.com/maps/search/?api=1&query=-37.795997,144.99397",YRA,red
4,2487,Princes Highway East near IRVING (LANSDOWNE),11272288.0,-37.859989,145.007416,"https://www.google.com/maps/search/?api=1&query=-37.859989,145.007416",FRA,red
5,3386,Hoddle / Albert / Elizabeth,11252935.0,-37.811248,144.991117,"https://www.google.com/maps/search/?api=1&query=-37.811248,144.991117",MBN,red
6,3056,Bell / Nicholson / Elizabeth,11056163.0,-37.742572,144.978066,"https://www.google.com/maps/search/?api=1&query=-37.742572,144.978066",MRD,red
7,2425,Princes Highway East / WARRIGAL,10986426.0,-37.893093,145.088202,"https://www.google.com/maps/search/?api=1&query=-37.893093,145.088202",STO,red
8,416,SPRINGVALE near LAUGHLIN AVE,10872534.0,-37.82145,145.17544,"https://www.google.com/maps/search/?api=1&query=-37.82145,145.17544",WTH,red
9,2405,Princes Highway East / ALBERT,10567398.0,-37.83513,144.971089,"https://www.google.com/maps/search/?api=1&query=-37.83513,144.971089",PTP,red
10,3519,MT ALEXANDER near LINCOLN,10513308.0,-37.744751,144.910236,"https://www.google.com/maps/search/?api=1&query=-37.744751,144.910236",MNV,red
11,1359,Warrigal / Links Estate Access,10398068.0,-37.922492,145.082756,"https://www.google.com/maps/search/?api=1&query=-37.922492,145.082756",MSH,red
12,2403,Princes Highway East / STURT,10319375.0,-37.830784,144.965153,"https://www.google.com/maps/search/?api=1&query=-37.830784,144.965153",PTP,red
13,3060,Bell / High,10095985.0,-37.745172,145.002817,"https://www.google.com/maps/search/?api=1&query=-37.745172,145.002817",BOR,red
14,2326,Nepean / Bay / Karen,10010589.0,-37.957435,145.051922,"https://www.google.com/maps/search/?api=1&query=-37.957435,145.051922",KIN,red
15,855,Canterbury / Heathmont,9977749.0,-37.829799,145.244803,"https://www.google.com/maps/search/?api=1&query=-37.829799,145.244803",MRH,red
16,415,SPRINGVALE near WALKERS / SILVER,9969270.0,-37.819786,145.175764,"https://www.google.com/maps/search/?api=1&query=-37.819786,145.175764",WTH,red
17,414,SPRINGVALE near TUNSTALL,9891106.0,-37.815046,145.176542,"https://www.google.com/maps/search/?api=1&query=-37.815046,145.176542",WTH,red
18,2333,NEPEAN near CENTREWAY,9842127.0,-38.006934,145.086912,"https://www.google.com/maps/search/?api=1&query=-38.006934,145.086912",KIN,orange
19,2438,Princes Highway East near THE AVENUE,9787531.0,-37.858271,144.996902,"https://www.google.com/maps/search/?api=1&query=-37.858271,144.996902",FRA,red
20,2929,King Street / Flinders Street,9764731.0,-37.820364,144.957558,"https://www.google.com/maps/search/?api=1&query=-37.820364,144.957558",MBN,red
21,2101,EASTERN Highway / QUEENS / BRUNSWICK,9492542.0,-37.793121,144.979346,"https://www.google.com/maps/search/?api=1&query=-37.793121,144.979346",YRA,red
22,3385,Hoddle / Victoria,9450681.0,-37.809908,144.99132,"https://www.google.com/maps/search/?api=1&query=-37.809908,144.99132",YRA,red
23,4562,Swanston / Flinders,9422095.0,-37.817453,144.967438,"https://www.google.com/maps/search/?api=1&query=-37.817453,144.967438",MBN,red
24,3516,BULLA near HOLYROOD,9396865.0,-37.738597,144.906609,"https://www.google.com/maps/search/?api=1&query=-37.738597,144.906609",MNV,red
25,2315,Nepean / Martin / Gardenvale,9316212.0,-37.897608,145.005663,"https://www.google.com/maps/search/?api=1&query=-37.897608,145.005663",BAY,red
26,3381,Hoddle / Truro,9274612.0,-37.797937,144.993283,"https://www.google.com/maps/search/?api=1&query=-37.797937,144.993283",YRA,red
27,725,Fitzsimons Lane / Porter Street / Williamsons Road,9093237.0,-37.752557,145.135019,"https://www.google.com/maps/search/?api=1&query=-37.752557,145.135019",MAN,red
28,538,BURWOOD Highway / STANLEY / FORTESCUE,9085373.0,-37.855474,145.175184,"https://www.google.com/maps/search/?api=1&query=-37.855474,145.175184",WTH,red
29,3357,MRR / GREENSBOROUGH Highway,9032843.0,-37.695056,145.092566,"https://www.google.com/maps/search/?api=1&query=-37.695056,145.092566",BAN,red
30,3382,Hoddle / Johnston,9025603.0,-37.799845,144.992987,"https://www.google.com/maps/search/?api=1&query=-37.799845,144.992987",YRA,red
