SCATS Site,Name,Latitude,Longitude
2404,PHE/PARK,-37.833437,144.967764
2487,PHE NR IRVING (LANSDOWNE),-37.859989,145.007416
416,SPRINGVALE NR LAUGHLIN AVE,-37.82145,145.17544
1359,WARRIGAL/LINKS ESTATE ACCESS,-37.922492,145.082756
3386,HODDLE/ALBERT/ELIZABETH,-37.811248,144.991117
2420,PHE/GRANGE,-37.881163,145.049558
3380,EASTERN FWY OFF RAMP/HODDLE,-37.795997,144.99397
3060,BELL/HIGH,-37.745172,145.002817
855,CANTERBURY/HEATHMONT,-37.829799,145.244803
415,SPRINGVALE NR WALKERS/SILVER,-37.819786,145.175764
3519,MT ALEXANDER NR LINCOLN,-37.744751,144.910236
3516,BULLA NR HOLYROOD,-37.738597,144.906609
414,SPRINGVALE NR TUNSTALL,-37.815046,145.176542
2438,PHE NR THE AVENUE,-37.858271,144.996902
2405,PHE/ALBERT,-37.83513,144.971089
3357,MRR/GREENSBOROUGH HWY,-37.695056,145.092566
2403,PHE/STURT,-37.830784,144.965153
2929,KING ST/FLINDERS ST,-37.820364,144.957558
4415,PRINCES NR CANNING,-37.792825,144.973731
3360,BANKSIA/LWR HEIDELBERG,-37.75973,145.069047
3382,HODDLE/JOHNSTON,-37.799845,144.992987
2985,PHE NR CLOSEBURN,-37.859189,145.003684
4902,MONTAGUE/LORIMER,-37.825204,144.947548
3056,BELL/NICHOLSON/ELIZABETH,-37.742572,144.978066
3381,HODDLE/TRURO,-37.797937,144.993283
2100,EASTERN/NICHOLSON/PRINCES,-37.793047,144.975715
3059,BELL/ST GEORGES,-37.744603,144.997452
2329,NEPEAN/WARRIGAL/BALCOMBE,-37.982174,145.071351
538,BURWOOD HWY/STANLEY/FORTESCUE,-37.855474,145.175184
849,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312
4155,HIGH NR WALKER,-37.78381,144.996148
2103,EASTERN HWY/SMITH,-37.794078,144.985112
2316,NEPEAN/NORTH,-37.899837,145.006459
2326,NEPEAN/BAY/KAREN,-37.957435,145.051922
3384,HODDLE/LANGRIDGE,-37.807161,144.991773
2337,NEPEAN/CUMMINS/PATTERSON,-37.924902,145.026256
2173,SYDNEY/WRR,-37.692181,144.95865
2701,MELTON HWY/SUNSHINE,-37.701628,144.800222
3383,HODDLE/GIPPS,-37.804991,144.99213
948,PHE/SPRINGVALE BYPASS/Westall,-37.924655,145.143566
2020,BURWOOD HWY NR MILPERA,-37.863825,145.219784
1156,SOUTH GIPPSLAND HWY BTW STATION/LOCH,-38.100842,145.282694
814,MT DANDENONG NR LILYDALE-MON,-37.810355,145.343284
3385,HODDLE/VICTORIA,-37.809908,144.99132
4461,FLEMINGTON/RACECOURSE/ELLIOT,-37.789404,144.942166
2104,EASTERN HWY/WELLINGTON,-37.794388,144.988164
4744,TOORAK NR SURREY,-37.839857,144.998594
2407,PHE/LORNE (X LAKESIDE),-37.850738,144.978351
2336,NEPEAN/DENDY,-37.922877,145.024464
2101,EASTERN HWY/QUEENS/BRUNSWICK,-37.793121,144.979346
2172,WRR/PASCOE VALE,-37.694667,144.915258
5296,PHW/FEDERATION TRAIL,-37.819275,144.840111
2315,NEPEAN/MARTIN/GARDENVALE,-37.897608,145.005663
2498,PHW NR WALES,-37.805355,144.880191
3393,PUNT/SWAN,-37.824602,144.988855
2406,PHE/QUEENS,-37.836233,144.973047
3390,PUNT/BRIDGE/HODDLE/WELLINGTON,-37.817555,144.990013
3389,HODDLE/FREEMAN,-37.815331,144.990367
3681,MONASH/WARRIGAL,-37.883239,145.090011
2421,PHE/DARLING/KOORNANG,-37.883888,145.058073
2320,NEPEAN/CENTRE,-37.915897,145.018118
3706,WARRIGAL/MIDDLE,-37.886996,145.089382
2827,EASTERN FWY/BULLEEN/THOMPSONS,-37.779531,145.078645
2302,NEPEAN/FITZROY/WELLINGTON,-37.856393,144.983185
2416,PHE/NORMANBY/STATION,-37.868478,145.031261
3671,ST GEORGES/MERRI/CHARLES,-37.776519,144.98974
2422,PHE/MURRUMBEENA/BELGRAVE,-37.884552,145.067478
984,MAIN/FITZSIMONS,-37.733108,145.13745
3172,DANDENONG-HASTINGS/THOMPSONS,-38.077682,145.239462
2613,WESTERN HWY/MCINTYRE/ANDERSON,-37.777059,144.82872
2003,BURWOOD HWY NR PLC,-37.849887,145.106529
4901,WESTGATE FWY WB/MONTAGUE,-37.826556,144.945968
2411,PHE/HOTHAM/WILLIAMS,-37.859184,145.001334
2108,EASTERN HWY/GEORGE,-37.793786,144.982394
4742,TOORAK NR OSBORNE,-37.839045,144.992039
195,PHE (LONSDALE)/WALKER,-37.988178,145.214399
3075,BELL NR ALICE,-37.740389,144.957143
1144,BORONIA NR AMESBURY & ROXBURGH,-37.851476,145.239713
2327,NEPEAN/CHESTERVILLE/CHARMAN,-37.9633,145.056087
4976,MELBOURNE/CENTRE,-37.670639,144.853199
999,CANTERBURY NR GREEN HILL,-37.830471,145.263797
3361,BANKSIA/DORA,-37.760037,145.071534
2328,NEPEAN/CENTRE DANDENONG,-37.965665,145.057795
2880,WESTGATE FWY/WILLIAMSTOWN,-37.825989,144.88096
2324,NEPEAN/WICKHAM,-37.945195,145.043238
2325,NEPEAN/HIGHETT/ROWANS,-37.949484,145.04626
2868,TULLAMARINE/MICKLEHAM,-37.690816,144.881945
2614,WESTERN HWY/STATION,-37.770309,144.77471
431,SPRINGVALE/MAGID,-37.906398,145.160899
202,STUD NR OSWALD,-37.975957,145.222548
3701,WARRIGAL NR DELIA,-37.919504,145.083321
3016,JACKA/THE ESPLANADE/FITZROY,-37.862771,144.972334
3198,CENTRE/CLAYTON,-37.928527,145.119061
2408,PHE/UNION,-37.853554,144.979322
4734,QUEENS/LINK,-37.849493,144.977943
2419,PHE/BURKE/SIR JOHN MONASH,-37.878155,145.047347
3151,SPRINGVALE/KEYLANA,-38.003114,145.142277
