rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score
1,4415,674498771,147,2014-01,2026-04,4588427.01,5171583,2024-10,5171583,0.125134,674498771,0.125134,Top 1%,147,674498771.0,4588427.013605442,4727309.0,534564.9481146788,5171583.0,927843.0,0.11650287702727007,1.1270927890245186,4434601.083333333,4428438.0,-6163.083333333023,-0.13897717556819003,PRINCES near CANNING,PRINCES NR CANNING,-37.792825,144.973731,red,100.0,1.0,"https://www.google.com/maps/search/?api=1&query=-37.792825,144.973731",100.0,95.12037833190026,4.879621668099742,49.330164217804665,1.5688802922845475,Metropolitan Backbone,#7b1fa2,88.646127426536,36.74224889301899,74.62205176015595
2,3380,638170425,147,2014-01,2026-04,4341295.41,5623984,2019-10,5623984,0.118394,1312669196,0.243529,Top 1%,147,638170425.0,4341295.408163265,4635763.0,1118102.3237156572,5623984.0,22533.0,0.2575503895941301,1.295462176894205,3852029.8333333335,4847931.083333333,995901.2499999995,25.85393398000248,EASTERN Freeway OFF RAMP / HODDLE,EASTERN FWY OFF RAMP/HODDLE,-37.795997,144.99397,red,99.9785084891468,0.94614,"https://www.google.com/maps/search/?api=1&query=-37.795997,144.99397",99.97898276586801,24.978503869303527,75.02149613069648,79.81849611063095,55.684504620674836,High-Volume Volatile Corridor,#d32f2f,77.19676571067949,78.55154472520789,77.20316666023197
3,2404,560184622,147,2014-01,2026-04,3810779.74,4564372,2014-08,4564372,0.103926,1872853818,0.347455,Top 1%,147,560184622.0,3810779.741496599,3957361.0,593520.2927362641,4564372.0,455701.0,0.1557477295980303,1.1977527722994152,4285511.416666667,3488200.75,-797310.666666667,-18.604796234257307,Princes Highway East / PARK,PHE/PARK,-37.833437,144.967764,red,99.95701697829358,0.83052,"https://www.google.com/maps/search/?api=1&query=-37.833437,144.967764",99.95796553173602,59.86672398968186,40.13327601031814,15.859982713915299,25.89727057812164,Mature Urban Arterial,#795548,73.11555858265834,42.68082511085139,66.14641723154837
4,849,548183949,147,2014-01,2026-04,3729142.51,4709610,2021-05,4709610,0.1017,2421037767,0.449155,Top 1%,147,548183949.0,3729142.5102040814,3823025.0,588563.6496356791,4709610.0,754316.0,0.15782814628971348,1.2629203596035974,2952478.0833333335,3934008.25,981530.1666666665,33.24428290280562,Canterbury / Mitcham / Boronia,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312,red,99.93552546744036,0.812728,"https://www.google.com/maps/search/?api=1&query=-37.836096,145.195312",99.93694829760403,58.16852966466036,41.83147033533964,82.51944684528955,47.99054373522459,Mature Urban Arterial,#795548,86.01134334890523,66.58281989076023,79.38394258621274
5,1359,546970945,147,2014-01,2026-04,3720890.78,12236931,2017-04,12236931,0.101475,2968008712,0.55063,Top 1%,147,546970945.0,3720890.782312925,3675669.0,893290.6335579038,12236931.0,799646.0,0.2400744030983435,3.288710073987568,3542397.75,3678214.8333333335,135817.0833333335,3.8340438572527176,Warrigal / Links Estate Access,WARRIGAL/LINKS ESTATE ACCESS,-37.922492,145.082756,red,99.91403395658716,0.810929,"https://www.google.com/maps/search/?api=1&query=-37.922492,145.082756",99.91593106347206,28.396388650042994,71.603611349957,58.815903197925664,97.5284762518805,High-Volume Volatile Corridor,#d32f2f,73.81603988700552,77.31849258233913,73.1451690506497
6,2487,544715773,147,2014-01,2026-04,3705549.48,4174126,2018-10,4174126,0.101057,3512724485,0.651686,Top 1%,147,544715773.0,3705549.476190476,3795334.0,425808.4730975761,4174126.0,804548.0,0.11491102084415626,1.1264526426702168,3821518.0833333335,3463230.6666666665,-358287.416666667,-9.375525873585543,Princes Highway East near IRVING (LANSDOWNE),PHE NR IRVING (LANSDOWNE),-37.859989,145.007416,red,99.89254244573394,0.807586,"https://www.google.com/maps/search/?api=1&query=-37.859989,145.007416",99.89491382934006,95.76526225279449,4.234737747205504,29.386343993085568,1.4614227380184828,Metropolitan Backbone,#7b1fa2,84.76078696795277,30.496257586018377,70.61824313445986
7,3386,543973902,147,2014-01,2026-04,3700502.73,4235558,2017-03,4235558,0.100919,4056698387,0.752605,Top 1%,147,543973902.0,3700502.7346938774,3821583.0,456989.5681446779,4235558.0,757779.0,0.12349391445118935,1.1445898851228344,3763901.0833333335,3502308.0,-261593.0833333335,-6.950052021602679,Hoddle / Albert / Elizabeth,HODDLE/ALBERT/ELIZABETH,-37.811248,144.991117,red,99.87105093488071,0.806486,"https://www.google.com/maps/search/?api=1&query=-37.811248,144.991117",99.87389659520807,90.13327601031814,9.866723989681857,34.33448573898012,4.706640876853642,Metropolitan Backbone,#7b1fa2,84.33085927774,34.43447456865235,71.31681441615557
8,2405,518575823,147,2014-01,2026-04,3527726.69,4018888,2019-03,4018888,0.096207,4575274210,0.848812,Top 1%,147,518575823.0,3527726.68707483,3619882.0,396501.1288442844,4018888.0,752595.0,0.11239564853394603,1.139228845229061,3608746.5,3305622.6666666665,-303123.8333333335,-8.399698713482188,Princes Highway East / ALBERT,PHE/ALBERT,-37.83513,144.971089,red,99.84955942402752,0.768831,"https://www.google.com/maps/search/?api=1&query=-37.83513,144.971089",99.85287936107609,96.7755803955288,3.224419604471195,31.352636127917027,3.481624758220503,Metropolitan Backbone,#7b1fa2,85.38350597305747,31.027157285888322,71.0431019578441
9,3519,513927484,147,2014-01,2026-04,3496105.33,4043387,2019-10,4043387,0.095345,5089201694,0.944157,Top 1%,147,513927484.0,3496105.3333333335,3631170.0,471919.33441605204,4043387.0,586253.0,0.13498430093526512,1.156540382650561,3623609.25,2893739.5,-729869.75,-20.142065538661488,MT ALEXANDER near LINCOLN,MT ALEXANDER NR LINCOLN,-37.744751,144.910236,red,99.8280679131743,0.76194,"https://www.google.com/maps/search/?api=1&query=-37.744751,144.910236",99.83186212694409,78.43938091143595,21.56061908856406,14.04494382022472,8.747044917257684,Metropolitan Backbone,#7b1fa2,77.32635816172318,33.03812899004231,66.65529576674159
10,416,505992688,147,2014-01,2026-04,3442127.13,4005976,2017-03,4005976,0.093873,5595194382,1.03803,Top 1%,147,505992688.0,3442127.129251701,3481779.0,420536.80045491015,4005976.0,676325.0,0.12217352371477706,1.1638082643597412,3719199.5833333335,3216635.5833333335,-502564.0,-13.512692415113062,SPRINGVALE near LAUGHLIN AVE,SPRINGVALE NR LAUGHLIN AVE,-37.82145,145.17544,red,99.80657640232108,0.750176,"https://www.google.com/maps/search/?api=1&query=-37.82145,145.17544",99.8108448928121,91.14359415305245,8.85640584694755,22.515125324114088,11.433483773909305,Metropolitan Backbone,#7b1fa2,82.18488829413259,31.531471188314686,68.97508497424089
