site_id,total_volume,site_name,rank,cum_volume,cum_share,site_share
4415,674498771,PRINCES NEAR CANNING,1,674498771,0.1251341104687665,0.02101723413198823
3380,638170425,EASTERN FREEWAY OFF RAMP / HODDLE,2,1312669196,0.2435285270241225,0.04203446826397646
2404,560184622,PRINCES HIGHWAY EAST / PARK,3,1872853818,0.34745489040107247,0.06305170239596469
849,548183949,CANTERBURY / MITCHAM / BORONIA,4,2421037767,0.44915486937904847,0.08406893652795291
1359,546970945,WARRIGAL / LINKS ESTATE ACCESS,5,2968008712,0.5506298098794747,0.10508617065994115
2487,544715773,PRINCES HIGHWAY EAST NEAR IRVING (LANSDOWNE),6,3512724485,0.6516863671977408,0.12610340479192939
3386,543973902,HODDLE / ALBERT / ELIZABETH,7,4056698387,0.7526052913998932,0.1471206389239176
2405,518575823,PRINCES HIGHWAY EAST / ALBERT,8,4575274210,0.848812322623251,0.16813787305590583
3519,513927484,MT ALEXANDER NEAR LINCOLN,9,5089201694,0.9441569864251533,0.18915510718789408
416,505992688,SPRINGVALE NEAR LAUGHLIN AVE,10,5595194382,1.0380295739507133,0.2101723413198823
2101,497445056,EASTERN HIGHWAY / QUEENS / BRUNSWICK,11,6092639438,1.1303163908671605,0.23118957545187052
855,497003865,CANTERBURY / HEATHMONT,12,6589643303,1.2225213573107745,0.25220680958385877
3357,495736142,MRR / GREENSBOROUGH HIGHWAY,13,7085379445,1.3144911337188447,0.273224043715847
3516,494139005,BULLA NEAR HOLYROOD,14,7579518450,1.4061646066696152,0.2942412778478352
3060,492433092,BELL / HIGH,15,8071951542,1.4975215958624155,0.31525851197982346
2816,491145042,DIAMOND CREEK RD / GREENSBOROUGH HIGHWAY / CIVIC,16,8563096584,1.5886396239215284,0.33627574611181166
3393,489568230,PUNT / SWAN,17,9052664814,1.679465119250442,0.3572929802437999
3376,488890200,HODDLE NEAR STUDLEY (NORTHBOUND),18,9541555014,1.770164825349532,0.37831021437578816
415,488718913,SPRINGVALE NEAR WALKERS / SILVER,19,10030273927,1.8608327540054277,0.3993274485077764
414,486344942,SPRINGVALE NEAR TUNSTALL,20,10516618869,1.95106025969521,0.4203446826397646
2929,485057518,KING STREET / FLINDERS STREET,21,11001676387,2.041048920387844,0.4413619167717529
4035,478691176,BURKE / BARKERS / MONT ALBERT,22,11480367563,2.129856486944563,0.46237915090374104
2438,470322516,PRINCES HIGHWAY EAST NEAR THE AVENUE,23,11950690079,2.2171114860690797,0.48339638503572935
3052,468472268,BELL / MELVILLE / TURNER,24,12419162347,2.3040232241713654,0.5044136191677175
3381,460540614,HODDLE / TRURO,25,12879702961,2.3894634689062655,0.5254308532997058
2403,456674810,PRINCES HIGHWAY EAST / STURT,26,13336377771,2.4741865233873286,0.546448087431694
3360,452364288,BANKSIA / LWR HEIDELBERG,27,13788742059,2.558109882806937,0.5674653215636822
3385,449217059,HODDLE / VICTORIA,28,14237959118,2.641449363176961,0.5884825556956704
2326,444606362,NEPEAN / BAY / KAREN,29,14682565480,2.7239334595306737,0.6094997898276587
2316,432349576,NEPEAN / NORTH,30,15114915056,2.804143656984552,0.6305170239596469
2985,431212288,PRINCES HIGHWAY EAST NEAR CLOSEBURN,31,15546127344,2.88414286291651,0.6515342580916352
538,428564669,BURWOOD HIGHWAY / STANLEY / FORTESCUE,32,15974692013,2.9636508782597377,0.6725514922236233
3059,424979480,BELL / STREET GEORGES,33,16399671493,3.0424937635009313,0.6935687263556116
2420,424321860,PRINCES HIGHWAY EAST / GRANGE,34,16823993353,3.12121464600874,0.7145859604875998
3392,421387756,PUNT / BRUNTON,35,17245381109,3.199391188764056,0.7356031946195881
2628,418491452,WRR / SUNSHINE / MCINTYRE,36,17663872561,3.277030404484439,0.7566204287515763
2173,416360476,SYDNEY / WRR,37,18080233037,3.3542742780668453,0.7776376628835646
3382,415850171,HODDLE / JOHNSTON,38,18496083208,3.431423479034581,0.7986548970155528
2329,415125460,NEPEAN / WARRIGAL / BALCOMBE,39,18911208668,3.5084382304373487,0.819672131147541
3383,414910027,HODDLE / GIPPS,40,19326118695,3.5854130143591076,0.8406893652795292
4742,411127240,TOORAK NEAR OSBORNE,41,19737245935,3.661686009476068,0.8617065994115174
117,410542112,MAROONDAH / SPRINGVALE,42,20147788047,3.7378504506935433,0.8827238335435058
2843,410170343,MONASH / TOORAK / AUBURN,43,20557958390,3.813945920720684,0.903741067675494
948,409360248,PRINCES HIGHWAY EAST / SPRINGVALE BYPASS / WESTALL,44,20967318638,3.8898911006041232,0.9247583018074821
3735,407474384,PLENTY / GRIMSHAW,45,21374793022,3.9654864119270083,0.9457755359394703
3681,406633229,MONASH / WARRIGAL,46,21781426251,4.040925670804409,0.9667927700714587
2100,404076099,EASTERN / NICHOLSON / PRINCES,47,22185502350,4.115890526759728,0.9878100042034469
2337,403381671,NEPEAN / CUMMINS / PATTERSON,48,22588884021,4.190726551301557,1.008827238335435
2701,402877256,MELTON HIGHWAY / SUNSHINE,49,22991761277,4.265468995951107,1.0298444724674232
3384,401283844,HODDLE / LANGRIDGE,50,23393045121,4.339915828211425,1.0508617065994117
2425,398573117,PRINCES HIGHWAY EAST / WARRIGAL,51,23791618238,4.413859761984075,1.0718789407313998
2833,392587227,,52,24184205465,4.486693183695447,1.092896174863388
2416,391219605,PRINCES HIGHWAY EAST / NORMANBY / STATION,53,24575425070,4.559272881946101,1.1139134089953762
2157,389651351,SYDNEY / MAHONEYS / CAMP,54,24965076421,4.631561635160654,1.1349306431273645
2315,387977284,NEPEAN / MARTIN / GARDENVALE,55,25353053705,4.703539812739021,1.1559478772593528
2614,387494577,WESTERN HIGHWAY / STATION,56,25740548282,4.775428437728622,1.1769651113913409
2421,387026675,PRINCES HIGHWAY EAST / DARLING / KOORNANG,57,26127574957,4.847230256777169,1.1979823455233292
3390,385989403,PUNT / BRIDGE / HODDLE / WELLINGTON,58,26513564360,4.918839639434999,1.2189995796553175
2103,385146382,EASTERN HIGHWAY / SMITH,59,26898710742,4.9902926234639855,1.2400168137873055
2868,383329373,TULLAMARINE / MICKLEHAM,60,27282040115,5.061408513024154,1.2610340479192939
5296,381968735,PHW / FEDERATION TRAIL,61,27664008850,5.132271974806659,1.282051282051282
2406,381814908,PRINCES HIGHWAY EAST / QUEENS,62,28045823758,5.203106898353604,1.3030685161832705
4711,381289235,SWANSTON / CEMETERY EAST / COLLEGE,63,28427112993,5.273844298189491,1.3240857503152585
195,380350457,PRINCES HIGHWAY EAST (LONSDALE) / WALKER,64,28807463450,5.344407534401947,1.3451029844472466
1144,379896684,BORONIA NEAR AMESBURY & ROXBURGH,65,29187360134,5.414886585908437,1.366120218579235
429,379284312,SPRINGVALE / FERNTREE GULLY,66,29566644446,5.485252029164194,1.3871374527112232
999,377759395,CANTERBURY NEAR GREEN HILL,67,29944403841,5.555334567334667,1.4081546868432115
1156,377073282,SOUTH GIPPSLAND HIGHWAY BETWEEN STATION / LOCH,68,30321477123,5.625289816703992,1.4291719209751996
2407,375739484,PRINCES HIGHWAY EAST / LORNE (X LAKESIDE),69,30697216607,5.694997617696165,1.450189155107188
3671,375708270,STREET GEORGES / MERRI / CHARLES,70,31072924877,5.764699627816224,1.4712063892391762
2172,375339204,WRR / PASCOE VALE,71,31448264081,5.83433316821091,1.4922236233711643
2422,374935276,PRINCES HIGHWAY EAST / MURRUMBEENA / BELGRAVE,72,31823199357,5.90389177122521,1.5132408575031526
3706,374815046,WARRIGAL / MIDDLE,73,32198014403,5.973428068974104,1.5342580916351407
4169,373067435,METROPOLITAN RING ROAD / PLENTY,74,32571081838,6.042640147084161,1.5552753257671292
4461,372247743,FLEMINGTON / RACECOURSE / ELLIOT,75,32943329581,6.111700154599447,1.5762925598991173
2020,372199007,BURWOOD HIGHWAY NEAR MILPERA,76,33315528588,6.180751120532642,1.5973097940311056
4187,371012670,GREENSBOROUGH HIGHWAY / GRIMSHAW ST,77,33686541258,6.249581995293557,1.6183270281630937
2827,370582073,EASTERN FREEWAY / BULLEEN / THOMPSONS,78,34057123331,6.318332984997772,1.639344262295082
2336,368801497,NEPEAN / DENDY,79,34425924828,6.386753639342663,1.66036149642707
4381,368514266,RATHDOWNE / PRINCES,80,34794439094,6.455121006124655,1.6813787305590584
2104,367296762,EASTERN HIGHWAY / WELLINGTON,81,35161735856,6.52326249958177,1.7023959646910467
2412,366473067,PRINCES HIGHWAY EAST / ORRONG,82,35528208923,6.591251179801034,1.7234131988230348
2613,365991541,WESTERN HIGHWAY / MCINTYRE / ANDERSON,83,35894200464,6.659150526532576,1.744430432955023
4155,365437068,HIGH NEAR WALKER,84,36259637532,6.726947006530157,1.7654476670870116
2302,364909593,NEPEAN / FITZROY / WELLINGTON,85,36624547125,6.7946456285067045,1.7864649012189995
3198,363923761,CENTRE / CLAYTON,86,36988470886,6.862161357325109,1.807482135350988
3174,362999983,NARRE WARREN - CRANBOURNE / GREAVES,87,37351470869,6.929505705344509,1.8284993694829759
2424,361274463,PRINCES HIGHWAY EAST / POATH / CHADSTONE,88,37712745332,6.9965299320833685,1.8495166036149642
2161,357753587,SYDNEY ROAD / SOMERTON / COOPER,89,38070498919,7.062900960172692,1.8705338377469527
3056,354941351,BELL / NICHOLSON / ELIZABETH,90,38425440270,7.128750257659355,1.8915510718789406
2437,354411127,PRINCES HIGHWAY EAST / CHADSTONE ENT 3,91,38779851397,7.194501187126027,1.912568306010929
2309,354290866,NEPEAN NEAR MILTON,92,39134142263,7.260229805576126,1.9335855401429174
202,352422511,STUD NEAR OSWALD,93,39486564774,7.325611803763864,1.9546027742749055
3022,352302804,ORMOND ESP / STREET KILDA / HEAD,94,39838867578,7.390971593714012,1.9756200084068938
2918,352085251,VICTORIA / LATROBE,95,40190952829,7.456291022877297,1.9966372425388816
408,351742972,SPRINGVALE / THE GLEN SHOPPING,96,40542695801,7.5215469518830735,2.01765447667087
2408,350979736,PRINCES HIGHWAY EAST / UNION,97,40893675537,7.586661284103142,2.0386717108028583
2325,350367083,NEPEAN / HIGHETT / ROWANS,98,41244042620,7.6516619559409,2.0596889449348463
417,349674249,SPRINGVALE / CANTERBURY,99,41593716869,7.716534092086643,2.080706179066835
2409,348853457,PRINCES HIGHWAY EAST / CHAPEL,100,41942570326,7.781253953563826,2.1017234131988234
2320,347501419,NEPEAN / CENTRE,101,42290071745,7.84572298274935,2.122740647330811
2312,344490057,NEPEAN / GLENHUNTLY / HOTHAM,102,42634561802,7.9096333391524,2.1437578814627996
3389,344377178,HODDLE / FREEMAN,103,42978938980,7.973522754059539,2.1647751155947876
2430,344220706,PRINCES HIGHWAY EAST / NORTH / WELLINGTON,104,43323159686,8.03738314002641,2.185792349726776
3701,342510963,WARRIGAL NEAR DELIA,105,43665670649,8.100926331687477,2.2068095838587642
4734,342450502,QUEENS / LINK,106,44008121151,8.164458306525354,2.2278268179907523
725,342262233,FITZSIMONS LANE / PORTER STREET / WILLIAMSONS ROAD,107,44350383384,8.227955353391744,2.248844052122741
2756,342029645,,108,44692413029,8.291409250153585,2.269861286254729
432,341324337,SPRINGVALE / WELLINGTON,109,45033737366,8.354732297026619,2.290878520386717
604,340669484,PRINCES HIGHWAY EAST / NARRE WARREN-CRANBOURNE,110,45374406850,8.417933854504614,2.3118957545187055
1197,339931084,KOROROIT / FERGUSON,111,45714337934,8.480998422812068,2.3329129886506936
3689,339858763,WARRIGAL / THE BOULEVARD,112,46054196697,8.544049574009822,2.3539302227826817
3075,339736344,BELL NEAR ALICE,113,46393933041,8.607078013835329,2.3749474569146702
3088,339541628,POINT COOK NEAR JAMIESON,114,46733474669,8.670070329631404,2.3959646910466583
2627,338248403,WESTERN HIGHWAY / WRR,115,47071723072,8.732822724219364,2.4169819251786464
3172,338248138,DANDENONG-HASTINGS / THOMPSONS,116,47409971210,8.795575069644093,2.437999159310635
2108,338162854,EASTERN HIGHWAY / GEORGE,117,47748134064,8.858311593042249,2.459016393442623
121,336243923,MAROONDAH / MITCHAM,118,48084377987,8.920692113236159,2.480033627574611
3693,335728570,WARRIGAL / NORTH,119,48420106557,8.982977024302217,2.501050861706599
456,335637786,FERNTREE GULLY / STREETUD,120,48755744343,9.045245092972747,2.5220680958385877
256,335502364,STH GIPPS'D HIGHWAY / THOMPSONS,121,49091246707,9.107488037933292,2.543085329970576
4562,335176664,SWANSTON / FLINDERS,122,49426423371,9.16967055849941,2.564102564102564
164,334678369,BURWOOD HIGHWAY / SPRINGVALE,123,49761101740,9.231760634565617,2.5851197982345524
2411,334148208,PRINCES HIGHWAY EAST / HOTHAM / WILLIAMS,124,50095249948,9.293752354299695,2.606137032366541
2419,334144748,PRINCES HIGHWAY EAST / BURKE / SIR JOHN MONASH,125,50429394696,9.35574343212894,2.6271542664985286
3361,333077543,BANKSIA / DORA,126,50762472239,9.417536520348557,2.648171500630517
126,332820160,MAROONDAH / MT DANDENONG,127,51095292399,9.479281858454849,2.669188734762505
2899,332753089,,128,51428045488,9.541014753439988,2.6902059688944933
2321,332405549,NEPEAN / MARRIAGE / THOMAS,129,51760451037,9.602683172238333,2.711223203026482
3744,331777097,METROPOLITAN RING ROAD / DALTON,130,52092228134,9.664234999598156,2.73224043715847
3016,329501897,JACKA / THE ESPLANADE / FITZROY,131,52421730031,9.72536472814864,2.7532576712904584
3541,328965579,MONTAGUE / NORMANBY / MUNRO,132,52750695610,9.786394958110332,2.7742749054224465
2003,327062560,BURWOOD HIGHWAY NEAR PLC,133,53077758170,9.847072136887931,2.7952921395544346
4975,326298524,AIRPORT / CENTRE,134,53404056694,9.907607570462519,2.816309373686423
3064,326109276,BELL / ALBERT,135,53730165970,9.96810789443994,2.837326607818411
4382,325961212,CEMETERY / COLLEGE,136,54056127182,10.02858074934295,2.8583438419503993
4901,325605948,WESTGATE FREEWAY WB / MONTAGUE,137,54381733130,10.088987695090106,2.879361076082388
4902,325325591,MONTAGUE / LORIMER,138,54707058721,10.149342628550038,2.900378310214376
2306,325236056,NEPEAN / CARLISLE,139,55032294777,10.209680951330954,2.921395544346364
867,324797828,RINGWOOD BYPASS / WARRANDYTE,140,55357092605,10.269937973339625,2.9424127784783525
2169,324079205,,141,55681171810,10.330061675239,2.9634300126103406
2002,324076527,BURWOOD HIGHWAY NEAR MILLICENT,142,56005248337,10.390184880311455,2.9844472467423286
185,323703233,PRINCES HIGHWAY EAST / SPRINGVALE,143,56328951570,10.450238831273092,3.0054644808743167
869,323306152,RINGWOOD / RINGWOOD BYPASS,144,56652257722,10.510219115120933,3.0264817150063053
5079,322643882,CORIO-WAURN POND(SETTLEMENT / BARWON HEADS,145,56974901604,10.570076533559817,3.0474989491382933
4380,322074065,CEMETERY / LYGON / PRINCES,146,57296975669,10.62982823862087,3.0685161832702814
2498,321827244,PHW NEAR WALES,147,57618802913,10.689534153048037,3.08953341740227
1038,321321426,PUNT / GATE 6,148,57940124339,10.749146227296078,3.1105506515342585
814,320599397,MT DANDENONG NEAR LILYDALE-MON,149,58260723736,10.808624349548163,3.131567885666246
4384,319025660,ROYAL / CEMETERY / MACARTHUR,150,58579749396,10.867810509549054,3.1525851197982346
2327,318729077,NEPEAN / CHESTERVILLE / CHARMAN,151,58898478473,10.926941646988778,3.173602353930223
2310,317847884,NEPEAN / GLEN EIRA / BYRON,152,59216326357,10.985909304068054,3.1946195880622112
2017,317561062,STREETUD / BERGINS,153,59533887419,11.044823749462775,3.215636822194199
2434,317361026,PRINCES HIGHWAY EAST / WAVERLEY,154,59851248445,11.103701083853004,3.2366540563261874
3747,317352556,PLENTY NEAR BROWNING,155,60168601001,11.162576846875037,3.257671290458176
4301,316654574,BANKSIA / STREETUDLEY,156,60485255575,11.221323119139715,3.278688524590164
2413,315989551,PRINCES HIGHWAY EAST / KOOYONG,157,60801245126,11.27994601525439,3.2997057587221525
2328,315813854,NEPEAN / CENTRE DANDENONG,158,61117058980,11.338536315775492,3.32072299285414
3556,315643064,NORTH NEAR DALMOR,159,61432702044,11.397094931057648,3.3417402269861283
2880,314785178,WESTGATE FREEWAY / WILLIAMSTOWN,160,61747487222,11.45549438993195,3.362757461118117
784,314650790,STREETUD / WELLINGTON,161,62062138012,11.513868916925633,3.3837746952501053
2319,314547233,NEPEAN / HAWTHORN,162,62376685245,11.572224231856024,3.4047919293820934
265,314113537,MONASH / SPRINGVALE,163,62690798782,11.630499086798189,3.425809163514081
3570,313936558,CLAYTON / NORTH,164,63004735340,11.688741108308049,3.4468263976460696
2324,313809965,NEPEAN / WICKHAM,165,63318545305,11.746959644078382,3.467843631778058
634,313628655,MT DANDENONG / BAYSWATER / WICKLOW,166,63632173960,11.805144542922239,3.488860865910046
765,309928937,FERNTREE GULLY / LYNTON / JANINE,167,63942102897,11.862643064057462,3.5098781000420347
422,309291785,SPRINGVALE / HIGH STREET ROAD,168,64251394682,11.920023379715994,3.5308953341740232
3083,309268293,BELL NEAR GILMOUR (UPFIELD RAILWAY),169,64560662975,11.977399337100426,3.551912568306011
574,308769861,EASTERN FREEWAY / MIDDLEBOROUGH,170,64869432836,12.034682824568486,3.572929802437999
3740,308702476,HIGH / SPRING / CHEDDAR,171,65178135312,12.091953810661602,3.5939470365699875
576,306943001,SPRINGVALE / EASTERN FREEWAY / EASTLINK,172,65485078313,12.148898376087281,3.614964270701976
2418,306406783,PRINCES HIGHWAY EAST / FINCH / DERBY,173,65791485096,12.205743461476327,3.635981504833964
4896,306067545,PLENTY / ENTERPRISE,174,66097552641,12.262525610879138,3.6569987389659517
3151,303952073,SPRINGVALE / KEYLANA,175,66401504714,12.3189152944713,3.6780159730979403
3745,303668879,PLENTY / GREMEL,176,66705173593,12.37525243945138,3.6990332072299283
2109,302888523,EASTERN NEAR YOUNG (WEST BOUND),177,67008062116,12.43144481151547,3.720050441361917
2305,302705692,NEPEAN / INKERMAN,178,67310767808,12.487603264474686,3.7410676754939054
426,302300599,SPRINGVALE / WAVERLEY,179,67613068407,12.543686563920817,3.762084909625893
2110,302268848,EASTERN NEAR GOLD (WEST BOUND),180,67915337255,12.599763972869718,3.783102143757881
2617,299558196,WESTERN HIGHWAY NEAR MARCELLIN,181,68214895451,12.655338497245076,3.8041193778898696
1100,299516497,MAROONDAH HIGHWAY / EASTLINK,182,68514411948,12.710905285554045,3.825136612021858
2417,299425968,DANDENONG / TOORONGA,183,68813837916,12.7664552787755,3.8461538461538463
737,298774325,MOOROODUC / GOLF LINKS / TOWERHILL,184,69112612241,12.821884378126342,3.867171080285835
3511,298752711,MT ALEXANDER / KELLAWAY / TAYLORS,185,69411364952,12.877309467612708,3.8881883144178224
3053,298710934,BELL / SUSSEX,186,69710075886,12.932726806561993,3.909205548549811
4549,298667861,ALEXANDRA / LINLITHGOW,187,70008743747,12.988136154538171,3.930222782681799
2946,297987508,BELL NEAR ORIEL & PLUNKETT,188,70306731255,13.043419282317783,3.9512400168137876
3395,297668130,PUNT / ALEXANDRA,189,70604399385,13.098643158570706,3.9722572509457756
4441,297423495,VICTORIA / BRUNSWICK / GISBORNE,190,70901822880,13.153821649740019,3.9932744850777633
2845,297338897,MONASH / BURKE,191,71199161777,13.208984446150598,4.014291719209752
3391,297178859,PUNT / ROWENA,192,71496340636,13.264117552050786,4.03530895334174
3696,297000291,WARRIGAL / SOUTH / DINGLEY BYPASS,193,71793340927,13.319217529724797,4.056326187473728
