site_id,name,total,lat,lng,source_top20_csv,lookup_name,lookup_lat,lookup_lng,coordinate_source,OBJECTID,prop_ufi,prop_pfi,prop_lga_code,prop_propnum,prop_property_type,prop_multi_assessment,prop_status,prop_task_id,prop_pfi_created,prop_ufi_old,prop_ufi_created,propv_task_id,propv_ufi,propv_pfi,propv_base_pfi,propv_centroid_pfi,propv_graphic_type,propv_z_level,propv_pfi_created,propv_ufi_old,propv_ufi_created,Shape__Area,Shape__Length
4415,PRINCES NR CANNING,674498771,-37.792825,144.973731,top_20_busiest_scats_sites_named.csv,PRINCES NR CANNING,-37.792825,144.973731,busiestSCATSsitesCOORDINATES.csv,834087,678767066,453340301,376,,O,N,P,359780.0,1653920251000.0,,1653920251000,400577,777584440,453340339,453340340,453340362,P,G,1653920290000.0,678767310,1688273523000,204.828125,72.15986455322687
3380,EASTERN FWY OFF RAMP/HODDLE,638170425,-37.795997,144.99397,top_20_busiest_scats_sites_named.csv,EASTERN FWY OFF RAMP/HODDLE,-37.795997,144.99397,busiestSCATSsitesCOORDINATES.csv,1667183,522502753,425231821,376,329620,O,Y,A,131551.0,1479994171000.0,,1479994171000,400577,777586298,424663110,425231834,424663109,P,G,1471443275000.0,538653593,1688273525000,5805.796875,348.9892474113497
2404,PHE/PARK,560184622,-37.833437,144.967764,top_20_busiest_scats_sites_named.csv,PHE/PARK,-37.833437,144.967764,busiestSCATSsitesCOORDINATES.csv,872889,264704640,50211703,358,183392,O,N,A,,,,1089898951000,392259,743038424,3718894,219064893,32263731,P,G,,713914639,1681619324000,4472.6796875,314.07460984053955
849,CANTERBURY/MITCHAM/BORONIA,548183949,-37.836096,145.195312,top_20_busiest_scats_sites_named.csv,CANTERBURY/MITCHAM/BORONIA,-37.836096,145.195312,busiestSCATSsitesCOORDINATES.csv,1322604,282862459,150613070,372,239534,O,Y,A,,,,1171660383000,393516,746582514,3293737,219074353,216593588,P,G,,415341010,1682833289000,9214.8984375,399.7486748508157
1359,WARRIGAL/LINKS ESTATE ACCESS,546970945,-37.922492,145.082756,top_20_busiest_scats_sites_named.csv,WARRIGAL/LINKS ESTATE ACCESS,-37.922492,145.082756,busiestSCATSsitesCOORDINATES.csv,2573637,578067085,430578175,348,277333,O,Y,A,251619.0,1565698129000.0,,1565698129000,395111,755744657,420841612,422676533,420841616,P,G,1409884415000.0,501239018,1684047063000,98330.75,1485.9293364099121
2487,PHE NR IRVING (LANSDOWNE),544715773,-37.859989,145.007416,top_20_busiest_scats_sites_named.csv,PHE NR IRVING (LANSDOWNE),-37.859989,145.007416,busiestSCATSsitesCOORDINATES.csv,1741941,265830891,173603460,363,,O,N,A,,1088606315000.0,,1094473396000,386222,722311915,2423296,208438618,22902263,P,G,,415209432,1676781689000,2079.5390625,183.55339441023895
3386,HODDLE/ALBERT/ELIZABETH,543973902,-37.811248,144.991117,top_20_busiest_scats_sites_named.csv,HODDLE/ALBERT/ELIZABETH,-37.811248,144.991117,busiestSCATSsitesCOORDINATES.csv,2232028,820536240,456247384,376,141315,O,Y,A,418788.0,1703148391000.0,,1703148391000,418788,820536581,2501088,456247575,23473209,P,G,,777594164,1703148401000,2287.0703125,191.8791512264832
2405,PHE/ALBERT,518575823,-37.83513,144.971089,top_20_busiest_scats_sites_named.csv,PHE/ALBERT,-37.83513,144.971089,busiestSCATSsitesCOORDINATES.csv,1121735,493749000,421678006,358,254857,O,Y,A,50507.0,,,1424180363000,468319,868082017,4252616,219062721,220711672,P,G,,743049739,1749048918000,840765.8203125,7483.992298303081
3519,MT ALEXANDER NR LINCOLN,513927484,-37.744751,144.910236,top_20_busiest_scats_sites_named.csv,MT ALEXANDER NR LINCOLN,-37.744751,144.910236,busiestSCATSsitesCOORDINATES.csv,3811086,280126766,203378237,349,228802,O,N,A,,1113407763000.0,,1157631571000,376768,709009936,203378155,206698149,203378070,P,G,1113407763000.0,414894629,1673283978000,4643.1328125,282.62124497362174
416,SPRINGVALE NR LAUGHLIN AVE,505992688,-37.82145,145.17544,top_20_busiest_scats_sites_named.csv,SPRINGVALE NR LAUGHLIN AVE,-37.82145,145.17544,busiestSCATSsitesCOORDINATES.csv,2977514,531613623,423872433,372,275901,O,N,A,1010.0,1460600301000.0,531613331.0,1494927889000,393516,746562239,423872462,423872463,423872466,P,G,1460600325000.0,531613788,1682833266000,3052.0078125,221.6588712953419
2101,EASTERN HWY/QUEENS/BRUNSWICK,497445056,-37.793121,144.979346,top_20_busiest_scats_sites_named.csv,EASTERN HWY/QUEENS/BRUNSWICK,-37.793121,144.979346,busiestSCATSsitesCOORDINATES.csv,237293,489167640,221087200,376,425650,O,N,A,37752.0,1363592272000.0,484948044.0,1412776774000,400577,777584573,221087182,221118002,221087154,P,G,1363592272000.0,484948096,1688273523000,931.34375,128.7244465584088
855,CANTERBURY/HEATHMONT,497003865,-37.829799,145.244803,top_20_busiest_scats_sites_named.csv,CANTERBURY/HEATHMONT,-37.829799,145.244803,busiestSCATSsitesCOORDINATES.csv,958684,498578835,214388028,342,216201,O,N,A,1004.0,1263391289000.0,498453566.0,1435321538000,1009,865583103,214388027,,220784196,P,G,1263391289000.0,814418243,1744729245000,165128.2890625,6335.809011702216
