site,volume,site_name,latitude,longitude,lookup_source
4415,674498771.0,PRINCES NR CANNING,,,busiestSCATSsitesCOORDINATES.csv
3380,638170425.0,EASTERN FWY OFF RAMP/HODDLE,,,busiestSCATSsitesCOORDINATES.csv
2404,560184622.0,PHE/PARK,,,busiestSCATSsitesCOORDINATES.csv
849,548183949.0,CANTERBURY/MITCHAM/BORONIA,,,busiestSCATSsitesCOORDINATES.csv
1359,546970945.0,WARRIGAL/LINKS ESTATE ACCESS,,,busiestSCATSsitesCOORDINATES.csv
2487,544715773.0,PHE NR IRVING (LANSDOWNE),,,busiestSCATSsitesCOORDINATES.csv
3386,543973902.0,HODDLE/ALBERT/ELIZABETH,,,busiestSCATSsitesCOORDINATES.csv
2405,518575823.0,PHE/ALBERT,,,busiestSCATSsitesCOORDINATES.csv
3519,513927484.0,MT ALEXANDER NR LINCOLN,,,busiestSCATSsitesCOORDINATES.csv
416,505992688.0,SPRINGVALE NR LAUGHLIN AVE,,,busiestSCATSsitesCOORDINATES.csv
2101,497445056.0,EASTERN HWY/QUEENS/BRUNSWICK,,,busiestSCATSsitesCOORDINATES.csv
855,497003865.0,CANTERBURY/HEATHMONT,,,busiestSCATSsitesCOORDINATES.csv
3357,495736142.0,MRR/GREENSBOROUGH HWY,,,busiestSCATSsitesCOORDINATES.csv
3516,494139005.0,BULLA NR HOLYROOD,,,busiestSCATSsitesCOORDINATES.csv
3060,492433092.0,BELL/HIGH,,,busiestSCATSsitesCOORDINATES.csv
2816,491145042.0,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,,,manual_override
3393,489568230.0,PUNT/SWAN,,,busiestSCATSsitesCOORDINATES.csv
3376,488890200.0,HODDLE NR STUDLEY (NORTHBOUND),,,manual_override
415,488718913.0,SPRINGVALE NR WALKERS/SILVER,,,busiestSCATSsitesCOORDINATES.csv
414,486344942.0,SPRINGVALE NR TUNSTALL,,,busiestSCATSsitesCOORDINATES.csv
